phase,rung,ordering,boundary,boson_encoding,method_id_requested,seed_requested,vqe_reps_used,vqe_maxiter_used,adapt_max_depth_used,adapt_maxiter_used,decision,run_id,status,error_message,started_utc,finished_utc,runtime_s,smoke_test,method_id,method_kind,sector,seed,attempt_idx,L,problem,t,U,dv,omega0,g_ep,n_ph_max,boson_encoding,ordering,boundary,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_depth_reached,adapt_stop_reason,wallclock_cap_s,E_exact_sector,E_best,E_last,delta_E_abs,N_up_target,N_dn_target,N_up_expect,N_dn_expect,N_up_abs_err,N_dn_abs_err,N_sector_abs_err_sum,sector_leak_flag,num_parameters,pool_size,nfev,nit
scout,scout_base,blocked,open,binary,m1_hh_hva,101,2,3000,80,3000,,scout|m1_hh_hva|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T01:51:48.047196+00:00,2026-03-02T01:53:05.836126+00:00,78.18079454218969,False,m1_hh_hva,conventional,"(2,1)",101,1,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,,,120,-0.5269377197656464,1.0135042990968044,1.0135042990968044,1.5404420188624508,2,1,2.0,1.0,0.0,0.0,0.0,False,8,,1780,0
scout,scout_base,blocked,open,binary,m3_adapt_paop_std,101,2,3000,80,3000,,scout|m3_adapt_paop_std|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T01:53:06.253033+00:00,2026-03-02T01:55:03.317944+00:00,117.47996487468481,False,m3_adapt_paop_std,adapt,"(2,1)",101,2,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,120,-0.5269377197656464,2.2639320230777065,2.263932065879242,2.790869742843353,2,1,2.0,1.0,0.0,0.0,0.0,False,28,5,3153,28
scout,scout_base,blocked,open,binary,m4_adapt_paop_lf_std,101,2,3000,80,3000,,scout|m4_adapt_paop_lf_std|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T01:55:03.739969+00:00,2026-03-02T01:57:01.473711+00:00,118.15395491709933,False,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,120,-0.5269377197656464,2.2639320230777065,2.263932065879242,2.790869742843353,2,1,2.0,1.0,0.0,0.0,0.0,False,28,7,3153,28
