run_id,status,error_message,started_utc,finished_utc,runtime_s,smoke_test,method_id,method_kind,sector,seed,attempt_idx,L,problem,t,U,dv,omega0,g_ep,n_ph_max,boson_encoding,ordering,boundary,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_depth_reached,adapt_stop_reason,wallclock_cap_s,E_exact_sector,E_best,E_last,delta_E_abs,num_parameters,pool_size,nfev,nit
smoke|m1_hh_hva|S2_1|interleaved_periodic|unary|seed101,ok,,2026-03-01T12:50:33.244117+00:00,2026-03-01T12:51:08.047282+00:00,35.13794379075989,True,m1_hh_hva,conventional,"(2,1)",101,0,3,hh,1.0,2.0,0.0,1.0,1.0,1,unary,interleaved,periodic,hh_hva,,1,1,200,COBYLA,10,1e-06,1e-08,200,,,300,-0.6988083850995425,2.3393489794926756,2.3393489794926756,3.038157364592218,4,,67,0
smoke|m2_hh_hva_tw|S2_1|interleaved_periodic|unary|seed101,ok,,2026-03-01T12:51:08.369258+00:00,2026-03-01T12:52:38.196951+00:00,90.14912316622213,True,m2_hh_hva_tw,conventional,"(2,1)",101,1,3,hh,1.0,2.0,0.0,1.0,1.0,1,unary,interleaved,periodic,hh_hva_tw,,1,1,200,COBYLA,10,1e-06,1e-08,200,,,300,-0.6988083850995425,-0.29947733773893837,-0.29947733773893837,0.3993310473606041,38,,200,0
smoke|m3_adapt_paop_std|S2_1|interleaved_periodic|unary|seed101,ok,,2026-03-01T12:52:38.609868+00:00,2026-03-01T12:53:23.799338+00:00,45.58183958288282,True,m3_adapt_paop_std,adapt,"(2,1)",101,2,3,hh,1.0,2.0,0.0,1.0,1.0,1,unary,interleaved,periodic,,paop_std,1,1,200,COBYLA,10,1e-06,1e-08,200,4,eps_energy,300,-0.6988083850995425,2.2639320374968888,2.263932038748548,2.9627404225964313,4,6,121,4
smoke|m4_adapt_paop_lf_std|S2_1|interleaved_periodic|unary|seed101,ok,,2026-03-01T12:53:24.138476+00:00,2026-03-01T12:54:13.068179+00:00,49.24936675000936,True,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,3,hh,1.0,2.0,0.0,1.0,1.0,1,unary,interleaved,periodic,,paop_lf_std,1,1,200,COBYLA,10,1e-06,1e-08,200,4,eps_energy,300,-0.6988083850995425,2.2639320374968888,2.263932038748548,2.9627404225964313,4,9,121,4
