run_id,status,error_message,started_utc,finished_utc,runtime_s,smoke_test,method_id,method_kind,sector,seed,attempt_idx,L,problem,t,U,dv,omega0,g_ep,n_ph_max,boson_encoding,ordering,boundary,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_depth_reached,adapt_stop_reason,wallclock_cap_s,E_exact_sector,E_best,E_last,delta_E_abs,num_parameters,pool_size,nfev,nit
smoke|m1_hh_hva|S2_1|blocked_open|binary|seed101,ok,,2026-03-01T12:49:30.737142+00:00,2026-03-01T12:49:33.679839+00:00,3.1880313749425113,True,m1_hh_hva,conventional,"(2,1)",101,0,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,hh_hva,,1,1,200,COBYLA,10,1e-06,1e-08,200,,,300,-0.5269377197656464,2.6325579732080095,2.6325579732080095,3.159495692973656,4,,74,0
smoke|m2_hh_hva_tw|S2_1|blocked_open|binary|seed101,ok,,2026-03-01T12:49:33.933971+00:00,2026-03-01T12:49:39.939003+00:00,6.258218499831855,True,m2_hh_hva_tw,conventional,"(2,1)",101,1,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,hh_hva_tw,,1,1,200,COBYLA,10,1e-06,1e-08,200,,,300,-0.5269377197656464,0.11953094187453872,0.11953094187453872,0.6464686616401851,28,,200,0
smoke|m3_adapt_paop_std|S2_1|blocked_open|binary|seed101,ok,,2026-03-01T12:49:40.192303+00:00,2026-03-01T12:49:51.184914+00:00,11.244814916979522,True,m3_adapt_paop_std,adapt,"(2,1)",101,2,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_std,1,1,200,COBYLA,10,1e-06,1e-08,200,10,max_depth,300,-0.5269377197656464,2.263932023595207,2.263932068905447,2.7908697433608536,10,5,462,10
smoke|m4_adapt_paop_lf_std|S2_1|blocked_open|binary|seed101,ok,,2026-03-01T12:49:51.464753+00:00,2026-03-01T12:50:02.896647+00:00,11.709803791251034,True,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_lf_std,1,1,200,COBYLA,10,1e-06,1e-08,200,10,max_depth,300,-0.5269377197656464,2.263932023595207,2.263932068905447,2.7908697433608536,10,7,462,10
