run_id,fix_id,rung_id,status,E_exact_sector,E_best,E_last,delta_E_abs,relative_error_abs,adapt_depth_reached,adapt_stop_reason,num_parameters,nfev_total,nit_total,runtime_total_s,N_sector_abs_err_sum,error
fix1_warm_start_A,fix1_warm_start,A,ok,0.2449407001279198,0.4108390758432773,0.4108390758432773,0.16589837571535748,0.6773001613399381,43,wallclock_cap,43,9373,0,1673.828239124734,1.1102230246251565e-16,
fix1_warm_start_B,fix1_warm_start,B,ok,0.2449407001279198,0.2514482335302307,0.25144828599865776,0.006507533402310917,0.026567791301781902,43,wallclock_cap,43,8063,0,2465.80245441664,4.440892098500626e-16,
fix1_warm_start_C,fix1_warm_start,C,ok,0.2449407001279198,0.24933399950293336,0.24933399950293336,0.004393299375013565,0.01793617546091431,38,wallclock_cap,38,6227,0,3984.1408916250803,2.220446049250313e-16,
fix2_finite_angle_A,fix2_finite_angle,A,ok,0.2449407001279198,5.085786456681326,5.085786456681326,4.840845756553406,19.763337632436276,2,finite_probe_stall,2,90,0,3.4839385002851486,2.220446049250313e-16,
fix2_finite_angle_B,fix2_finite_angle,B,ok,0.2449407001279198,5.085786454602214,5.085786454602214,4.840845754474294,19.76333762394805,2,finite_probe_stall,2,97,0,3.698586291167885,2.220446049250313e-16,
fix2_finite_angle_C,fix2_finite_angle,C,ok,0.2449407001279198,5.085786450976837,5.085786450976837,4.840845750848917,19.76333760914701,2,finite_probe_stall,2,102,0,3.829939791932702,0.0,
fix3_diversity_A,fix3_diversity,A,ok,0.2449407001279198,5.085786469160993,5.085786469160993,4.8408457690330735,19.763337683386027,2,eps_grad,2,52,0,1.8267318331636488,2.220446049250313e-16,
fix3_diversity_B,fix3_diversity,B,ok,0.2449407001279198,5.085786469160993,5.085786469160993,4.8408457690330735,19.763337683386027,2,eps_grad,2,52,0,1.8740210002288222,2.220446049250313e-16,
fix3_diversity_C,fix3_diversity,C,ok,0.2449407001279198,5.085786469160993,5.085786469160993,4.8408457690330735,19.763337683386027,2,eps_grad,2,52,0,1.7731972080655396,2.220446049250313e-16,
