run_id,status,error_message,started_utc,finished_utc,runtime_s,phase,decision,method_id,method_kind,sector,seed,L,problem,t,U,dv,omega0,g_ep,n_ph_max,ordering,boundary,boson_encoding,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_allow_repeats,adapt_depth_reached,adapt_stop_reason,paop_r,paop_prune_eps,paop_normalization,fidelity_grouping_mode,fidelity_residual_trotter_steps,fidelity_coeff_tolerance,E_exact_sector,E_best,E_last,delta_E_abs,N_up_target,N_dn_target,N_up_expect,N_dn_expect,N_up_abs_err,N_dn_abs_err,N_sector_abs_err_sum,sector_leak_flag,num_parameters,pool_size,nfev,nit
m1_hh_hva|trotter_1|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T03:02:36.259704+00:00,2026-03-02T03:04:44.403361+00:00,128.4054300421849,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,blocked,open,binary,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,1,1e-12,-0.5269377197656464,1.1322283481373903,1.2890939542994995,1.6591660679030367,2,1,1.998845385528913,1.0012016161428245,0.001154614471087001,0.0012016161428245464,0.0023562306139115474,True,8,,1746,0
m3_adapt_paop_std|trotter_1|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T03:04:44.827771+00:00,2026-03-02T03:04:50.828014+00:00,6.423135875258595,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,blocked,open,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.5269377197656464,2.263932037496895,2.2639320937816256,2.7908697572625414,2,1,2.0,1.0,0.0,0.0,0.0,False,6,5,215,6
m4_adapt_paop_lf_std|trotter_1|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T03:04:51.118669+00:00,2026-03-02T03:04:57.356078+00:00,6.5267546670511365,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,blocked,open,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.5269377197656464,2.263932037496895,2.2639320937816256,2.7908697572625414,2,1,2.0,1.0,0.0,0.0,0.0,False,6,7,215,6
