attempt_id,stage,delta_E_abs_best,relative_error_best,gate_pass,runtime_s,stop_reason,artifact_json,artifact_log
probe_base_partial,probe,7.365631000000e-01,4.421702728775e+01,False,967.200,user_policy_switch_to_gradient_sequence,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test/artifacts/useful/L4/l4_hh_seq_20260302_215706_probe.json,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test/artifacts/useful/L4/l4_hh_seq_20260302_215706_probe.log
probe_cont_gradseq,probe,7.115062367255e-01,4.271282485465e+01,False,999.456,"grad_floor_patience(abs_depth>=12,floor=0.2,patience=3)",/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test/artifacts/useful/L4/l4_hh_seq_20260302_215706_probe_cont_grad.json,/Users/jakestrobel/Documents/Holstein_implementation/Holstein_test/artifacts/useful/L4/l4_hh_seq_20260302_215706_probe_cont_grad.log
