run_id,method_id,method_kind,pool_name,pool_arm,stage,ok,E_exact_sector,E_best,E_last,delta_E_abs,relative_error_abs,delta_E_abs_initial,adapt_depth_reached,num_parameters,nfev_total,nit_total,runtime_s,wallclock_cap_s,maxiter,adapt_stop_reason,final_max_grad,medium_gate_pass,state_export_json,state_checkpoint_json
A_probe,A_probe,adapt,uccsd+paop,A,probe,True,0.01665790635825912,4.881510084020558,4.881510084020558,4.864852177662299,292.04463472387494,4.890814667460593,1,1,21,0,14.070000167004764,60,40,max_depth,1.0623526344757774,,artifacts/useful/L4/smoke_state_export_A_probe_state.json,artifacts/useful/L4/smoke_state_export_A_probe_checkpoint_state.json
A_medium,A_medium,adapt,uccsd+paop,A,medium,True,0.01665790635825912,4.881510084020558,4.881510084020558,4.864852177662299,292.04463472387494,4.890814667460593,1,1,21,0,14.413974334020168,60,40,max_depth,1.0623526344757774,False,artifacts/useful/L4/smoke_state_export_A_medium_state.json,artifacts/useful/L4/smoke_state_export_A_medium_checkpoint_state.json
B_probe,B_probe,adapt,uccsd+paop+hva,B,probe,True,0.01665790635825912,4.51296156591907,4.51296156591907,4.496303659560811,269.92009457007833,4.890814667460593,1,1,20,0,17.213392124976963,60,40,max_depth,3.3804842338020267,,artifacts/useful/L4/smoke_state_export_B_probe_state.json,artifacts/useful/L4/smoke_state_export_B_probe_checkpoint_state.json
B_medium,B_medium,adapt,uccsd+paop+hva,B,medium,True,0.01665790635825912,4.51296156591907,4.51296156591907,4.496303659560811,269.92009457007833,4.890814667460593,1,1,20,0,17.11241295794025,60,40,max_depth,3.3804842338020267,False,artifacts/useful/L4/smoke_state_export_B_medium_state.json,artifacts/useful/L4/smoke_state_export_B_medium_checkpoint_state.json
