pool,checkpoint_utc,depth,max_grad_preopt,delta_E_abs_best,relative_error_best,nfev_total,runtime_s,delta_gain_per_100_eval
A,2026-03-03T17:15:09Z,41,0.0502443721699046,0.6592344901328597,39.57487069231879,4690,2095.4955405830406,0.00015520173421486574
B,2026-03-03T17:15:48Z,35,0.17224141338948643,0.6421485697315739,38.549176344312414,372,148.15991683397442,0.006549699391387923
